name,team,position,height,weight,age
Adam Donachie,BAL,Catcher,74.0,180.0,24.99
Paul Bako,BAL,Catcher,74.0,215.0,36.69
Ramon Hernandez,BAL,Catcher,72.0,210.0,32.78
Kevin Millar,BAL,First Baseman,72.0,210.0,37.43
Chris Gomez,BAL,First Baseman,73.0,188.0,37.71
Brian Roberts,BAL,Second Baseman,69.0,176.0,31.39
Miguel Tejada,BAL,Shortstop,69.0,209.0,32.769999999999996
Melvin Mora,BAL,Third Baseman,71.0,200.0,37.07
Aubrey Huff,BAL,Third Baseman,76.0,231.0,32.19
Adam Stern,BAL,Outfielder,71.0,180.0,29.05
Jeff Fiorentino,BAL,Outfielder,73.0,188.0,25.88
Freddie Bynum,BAL,Outfielder,73.0,180.0,28.96
Nick Markakis,BAL,Outfielder,74.0,185.0,25.29
Brandon Fahey,BAL,Outfielder,74.0,160.0,28.11
Corey Patterson,BAL,Outfielder,69.0,180.0,29.55
Jay Payton,BAL,Outfielder,70.0,185.0,36.27
Jay Gibbons,BAL,Designated Hitter,72.0,197.0,32.0
Erik Bedard,BAL,Starting Pitcher,73.0,189.0,29.99
Hayden Penn,BAL,Starting Pitcher,75.0,185.0,24.38
Adam Loewen,BAL,Starting Pitcher,78.0,219.0,24.89
Daniel Cabrera,BAL,Starting Pitcher,79.0,230.0,27.76
Steve Trachsel,BAL,Starting Pitcher,76.0,205.0,38.33
Jaret Wright,BAL,Starting Pitcher,74.0,230.0,33.17
Kris Benson,BAL,Starting Pitcher,76.0,195.0,34.31
Scott Williamson,BAL,Relief Pitcher,72.0,180.0,33.03
John Parrish,BAL,Relief Pitcher,71.0,192.0,31.26
Danys Baez,BAL,Relief Pitcher,75.0,225.0,31.47
Chad Bradford,BAL,Relief Pitcher,77.0,203.0,34.46
Jamie Walker,BAL,Relief Pitcher,74.0,195.0,37.67
Brian Burres,BAL,Relief Pitcher,73.0,182.0,27.89
Kurt Birkins,BAL,Relief Pitcher,74.0,188.0,28.55
James Hoey,BAL,Relief Pitcher,78.0,200.0,26.17
Sendy Rleal,BAL,Relief Pitcher,73.0,180.0,28.69
Chris Ray,BAL,Relief Pitcher,75.0,200.0,27.13
Jeremy Guthrie,BAL,Relief Pitcher,73.0,200.0,29.9
A.J. Pierzynski,CWS,Catcher,75.0,245.0,32.17
Toby Hall,CWS,Catcher,75.0,240.0,33.36
Paul Konerko,CWS,First Baseman,74.0,215.0,32.989999999999995
Tadahito Iguchi,CWS,Second Baseman,69.0,185.0,34.24
Juan Uribe,CWS,Shortstop,71.0,175.0,29.61
Alex Cintron,CWS,Shortstop,74.0,199.0,30.2
Joe Crede,CWS,Third Baseman,73.0,200.0,30.85
Josh Fields,CWS,Third Baseman,73.0,215.0,26.21
Ryan Sweeney,CWS,Outfielder,76.0,200.0,24.02
Brian N. Anderson,CWS,Outfielder,74.0,205.0,26.97
Luis Terrero,CWS,Outfielder,74.0,206.0,28.78
Pablo Ozuna,CWS,Outfielder,70.0,186.0,34.51
Scott Podsednik,CWS,Outfielder,72.0,188.0,32.95
Jermaine Dye,CWS,Outfielder,77.0,220.0,35.09
Darin Erstad,CWS,Outfielder,74.0,210.0,34.74
Rob Mackowiak,CWS,Outfielder,70.0,195.0,32.69
Jim Thome,CWS,Designated Hitter,76.0,244.0,38.51
Jerry Owens,CWS,Designated Hitter,75.0,195.0,28.03
Charlie Haeger,CWS,Starting Pitcher,73.0,200.0,25.45
Heath Phillips,CWS,Starting Pitcher,75.0,200.0,26.94
Gavin Floyd,CWS,Starting Pitcher,76.0,212.0,26.09
Jose Contreras,CWS,Starting Pitcher,76.0,224.0,37.23
Jon Garland,CWS,Starting Pitcher,78.0,210.0,29.43
Javier Vazquez,CWS,Starting Pitcher,74.0,205.0,32.6
Mark Buehrle,CWS,Starting Pitcher,74.0,220.0,29.94
Mike MacDougal,CWS,Relief Pitcher,76.0,195.0,31.99
David Aardsma,CWS,Relief Pitcher,77.0,200.0,27.17
Andrew Sisco,CWS,Relief Pitcher,81.0,260.0,26.13
Matt Thornton,CWS,Relief Pitcher,78.0,228.0,32.46
Bobby Jenks,CWS,Relief Pitcher,75.0,270.0,27.96
Boone Logan,CWS,Relief Pitcher,77.0,200.0,24.55
Sean Tracey,CWS,Relief Pitcher,75.0,210.0,28.29
Nick Masset,CWS,Relief Pitcher,76.0,190.0,26.79
Jose Molina,ANA,Catcher,74.0,220.0,33.739999999999995
Jeff Mathis,ANA,Catcher,72.0,180.0,25.92
Mike Napoli,ANA,Catcher,72.0,205.0,27.33
Casey Kotchman,ANA,First Baseman,75.0,210.0,26.02
Kendry Morales,ANA,First Baseman,73.0,220.0,25.7
Shea Hillenbrand,ANA,First Baseman,73.0,211.0,33.59
Robb Quinlan,ANA,First Baseman,73.0,200.0,31.95
Howie Kendrick,ANA,First Baseman,70.0,180.0,25.64
Orlando Cabrera,ANA,Shortstop,70.0,190.0,34.33
Erick Aybar,ANA,Shortstop,70.0,170.0,25.13
Dallas McPherson,ANA,Third Baseman,76.0,230.0,28.6
Maicer Izturis,ANA,Third Baseman,68.0,155.0,28.46
Reggie Willits,ANA,Outfielder,71.0,185.0,27.75
Tommy Murphy,ANA,Outfielder,72.0,185.0,29.51
Terry Evans,ANA,Outfielder,75.0,200.0,27.11
Gary Matthews Jr.,ANA,Outfielder,75.0,225.0,34.51
Garret Anderson,ANA,Outfielder,75.0,225.0,36.67
Vladimir Guerrero,ANA,Outfielder,75.0,220.0,33.06
Chone Figgins,ANA,Outfielder,68.0,160.0,31.1
Juan Rivera,ANA,Outfielder,74.0,205.0,30.66
John Lackey,ANA,Starting Pitcher,78.0,235.0,30.35
Bartolo Colon,ANA,Starting Pitcher,71.0,250.0,35.77
Kelvim Escobar,ANA,Starting Pitcher,73.0,210.0,32.89
Dustin Moseley,ANA,Starting Pitcher,76.0,190.0,39.74
Ervin Santana,ANA,Starting Pitcher,74.0,160.0,26.14
Joe Saunders,ANA,Starting Pitcher,74.0,200.0,27.71
Jered Weaver,ANA,Starting Pitcher,79.0,205.0,26.41
Chris Resop,ANA,Relief Pitcher,75.0,222.0,26.32
Phil Seibel,ANA,Relief Pitcher,73.0,195.0,30.09
Justin Speier,ANA,Relief Pitcher,76.0,205.0,35.31
Darren Oliver,ANA,Relief Pitcher,74.0,220.0,38.4
Hector Carrasco,ANA,Relief Pitcher,74.0,220.0,39.36
Scot Shields,ANA,Relief Pitcher,73.0,170.0,33.61
Francisco Rodriguez,ANA,Relief Pitcher,72.0,185.0,27.14
Greg Jones,ANA,Relief Pitcher,74.0,195.0,32.29
Doug Mirabelli,BOS,Catcher,73.0,220.0,38.37
Jason Varitek,BOS,Catcher,74.0,230.0,36.89
George Kottaras,BOS,Catcher,72.0,180.0,25.79
Kevin Youkilis,BOS,First Baseman,73.0,220.0,29.96
Dustin Pedroia,BOS,Second Baseman,69.0,180.0,25.54
Alex Cora,BOS,Shortstop,72.0,180.0,33.370000000000005
Julio Lugo,BOS,Shortstop,73.0,170.0,33.29
Mike Lowell,BOS,Third Baseman,75.0,210.0,35.01
Wily Mo Pe?a,BOS,Outfielder,75.0,215.0,27.1
J.D. Drew,BOS,Outfielder,73.0,200.0,33.28
Manny Ramirez,BOS,Outfielder,72.0,213.0,36.75
Brandon Moss,BOS,Outfielder,72.0,180.0,25.46
David Murphy,BOS,Outfielder,76.0,192.0,27.37
Eric Hinske,BOS,Outfielder,74.0,235.0,31.57
Coco Crisp,BOS,Outfielder,72.0,185.0,29.33
David Ortiz,BOS,Designated Hitter,76.0,230.0,33.28
Curt Schilling,BOS,Starting Pitcher,77.0,235.0,42.29
Tim Wakefield,BOS,Starting Pitcher,74.0,210.0,42.58
Josh Beckett,BOS,Starting Pitcher,77.0,222.0,28.79
Matt Clement,BOS,Starting Pitcher,75.0,210.0,34.55
Jonathan Papelbon,BOS,Starting Pitcher,76.0,230.0,28.27
Kyle Snyder,BOS,Starting Pitcher,80.0,220.0,31.47
Devern Hansack,BOS,Starting Pitcher,74.0,180.0,31.07
Jon Lester,BOS,Starting Pitcher,74.0,190.0,25.15
Kason Gabbard,BOS,Starting Pitcher,75.0,200.0,26.9
Craig Hansen,BOS,Relief Pitcher,78.0,210.0,25.29
Hideki Okajima,BOS,Relief Pitcher,73.0,194.0,33.18
Craig Breslow,BOS,Relief Pitcher,73.0,180.0,28.56
Manny Delcarmen,BOS,Relief Pitcher,74.0,190.0,27.03
Brendan Donnelly,BOS,Relief Pitcher,75.0,240.0,37.66
Javier Lopez,BOS,Relief Pitcher,76.0,200.0,31.64
J.C. Romero,BOS,Relief Pitcher,71.0,198.0,32.739999999999995
Joel Pineiro,BOS,Relief Pitcher,73.0,200.0,30.43
Julian Tavarez,BOS,Relief Pitcher,74.0,195.0,35.77
Mike Timlin,BOS,Relief Pitcher,76.0,210.0,42.97
Nick DeBarr,BOS,Relief Pitcher,76.0,220.0,25.52
Victor Martinez,CLE,Catcher,74.0,190.0,30.19
Kelly Shoppach,CLE,Catcher,73.0,210.0,28.84
Ryan Garko,CLE,First Baseman,74.0,225.0,28.16
Joe Inglett,CLE,Second Baseman,70.0,180.0,30.67
Josh Barfield,CLE,Second Baseman,72.0,185.0,26.2
Hector Luna,CLE,Second Baseman,73.0,170.0,29.08
Jhonny Peralta,CLE,Shortstop,73.0,185.0,26.76
Andy Marte,CLE,Third Baseman,73.0,185.0,25.36
Ben Francisco,CLE,Outfielder,73.0,180.0,27.35
Shin-Soo Choo,CLE,Outfielder,71.0,178.0,26.63
Franklin Gutierrez,CLE,Outfielder,74.0,175.0,26.02
Grady Sizemore,CLE,Outfielder,74.0,200.0,26.58
Jason Michaels,CLE,Outfielder,72.0,204.0,32.82
Trot Nixon,CLE,Outfielder,74.0,211.0,34.89
David Dellucci,CLE,Outfielder,71.0,190.0,35.33
Casey Blake,CLE,Outfielder,74.0,210.0,35.52
Travis Hafner,CLE,Designated Hitter,75.0,240.0,31.74
Paul Byrd,CLE,Starting Pitcher,73.0,190.0,38.24
Cliff Lee,CLE,Starting Pitcher,75.0,190.0,30.5
Jake Westbrook,CLE,Starting Pitcher,75.0,185.0,31.42
C.C. Sabathia,CLE,Starting Pitcher,79.0,290.0,28.61
Jeremy Sowers,CLE,Starting Pitcher,73.0,175.0,25.79
Rafael Perez,CLE,Relief Pitcher,75.0,185.0,26.96
Brian Slocum,CLE,Relief Pitcher,76.0,200.0,27.93
Edward Mujica,CLE,Relief Pitcher,74.0,220.0,24.81
Fernando Cabrera,CLE,Relief Pitcher,76.0,170.0,27.29
Tom Mastny,CLE,Relief Pitcher,78.0,220.0,28.07
Juan Lara,CLE,Relief Pitcher,74.0,190.0,28.09
Fausto Carmona,CLE,Relief Pitcher,76.0,220.0,25.23
Aaron Fultz,CLE,Relief Pitcher,72.0,205.0,35.49
Rafael Betancourt,CLE,Relief Pitcher,74.0,200.0,33.84
Roberto Hernandez,CLE,Relief Pitcher,76.0,250.0,44.3
Joe Borowski,CLE,Relief Pitcher,74.0,225.0,37.82
Matt Miller,CLE,Relief Pitcher,75.0,215.0,37.27
Jason Davis,CLE,Relief Pitcher,78.0,210.0,28.81
Mike Piazza,OAK,Catcher,75.0,215.0,40.49
Jason Kendall,OAK,Catcher,72.0,195.0,34.68
Adam Melhuse,OAK,Catcher,74.0,200.0,36.93
Nick Swisher,OAK,First Baseman,72.0,194.0,28.26
Dan Johnson,OAK,First Baseman,74.0,220.0,29.56
Donald Murphy,OAK,Second Baseman,70.0,180.0,25.98
Mark Ellis,OAK,Second Baseman,71.0,180.0,31.73
Marco Scutaro,OAK,Shortstop,70.0,170.0,33.33
Bobby Crosby,OAK,Shortstop,75.0,195.0,29.13
Mark Kiger,OAK,Shortstop,71.0,180.0,28.75
Antonio Perez,OAK,Third Baseman,71.0,170.0,29.09
Eric Chavez,OAK,Third Baseman,73.0,206.0,31.23
Milton Bradley,OAK,Outfielder,72.0,205.0,30.88
Shannon Stewart,OAK,Outfielder,71.0,200.0,35.01
Bobby Kielty,OAK,Outfielder,73.0,225.0,32.57
Mark Kotsay,OAK,Outfielder,72.0,201.0,33.239999999999995
Ryan Goleski,OAK,Outfielder,75.0,225.0,26.95
Jeremy Brown,OAK,Designated Hitter,70.0,226.0,29.35
Jason Windsor,OAK,Starting Pitcher,74.0,233.0,26.62
David Shafer,OAK,Starting Pitcher,74.0,180.0,26.98
Joe Blanton,OAK,Starting Pitcher,75.0,225.0,28.22
Brad Halsey,OAK,Starting Pitcher,73.0,180.0,28.04
Dan Haren,OAK,Starting Pitcher,77.0,220.0,28.45
Rich Harden,OAK,Starting Pitcher,73.0,180.0,27.25
Joe Kennedy,OAK,Starting Pitcher,76.0,237.0,29.77
Esteban Loaiza,OAK,Starting Pitcher,75.0,215.0,37.16
Alan Embree,OAK,Relief Pitcher,74.0,190.0,39.1
Jay Witasick,OAK,Relief Pitcher,76.0,235.0,36.51
Justin Duchscherer,OAK,Relief Pitcher,75.0,190.0,31.28
Kiko Calero,OAK,Relief Pitcher,73.0,180.0,34.14
Chad Gaudin,OAK,Relief Pitcher,71.0,165.0,25.94
Lenny DiNardo,OAK,Relief Pitcher,76.0,195.0,29.45
Scott Dunn,OAK,Relief Pitcher,75.0,200.0,30.77
Huston Street,OAK,Relief Pitcher,72.0,190.0,25.58
Ron Flores,OAK,Relief Pitcher,71.0,190.0,29.56
Jay Marshall,OAK,Relief Pitcher,77.0,185.0,26.01
Marcus McBeth,OAK,Relief Pitcher,73.0,185.0,28.52
Jorge Posada,NYY,Catcher,74.0,205.0,37.54
Wil Nieves,NYY,Catcher,71.0,190.0,31.43
Andy Phillips,NYY,First Baseman,72.0,205.0,31.9
Doug Mientkiewicz,NYY,First Baseman,74.0,206.0,34.7
Josh Phelps,NYY,First Baseman,75.0,220.0,30.8
Miguel Cairo,NYY,Second Baseman,73.0,208.0,34.82
Robinson Cano,NYY,Second Baseman,72.0,170.0,26.36
Derek Jeter,NYY,Shortstop,75.0,195.0,34.68
Alex Rodriguez,NYY,Third Baseman,75.0,210.0,33.59
Johnny Damon,NYY,Outfielder,74.0,190.0,35.32
Bobby Abreu,NYY,Outfielder,72.0,211.0,34.97
Hideki Matsui,NYY,Outfielder,74.0,230.0,34.72
Melky Cabrera,NYY,Outfielder,71.0,170.0,24.55
Kevin Thompson,NYY,Outfielder,70.0,185.0,29.45
Jason Giambi,NYY,Designated Hitter,75.0,230.0,38.14
Mike Mussina,NYY,Starting Pitcher,74.0,185.0,40.23
Carl Pavano,NYY,Starting Pitcher,77.0,241.0,33.14
Andy Pettitte,NYY,Starting Pitcher,77.0,225.0,36.71
Darrell Rasner,NYY,Starting Pitcher,75.0,210.0,28.13
Jeff Karstens,NYY,Starting Pitcher,75.0,175.0,26.43
Humberto Sanchez,NYY,Starting Pitcher,78.0,230.0,25.76
Chien-Ming Wang,NYY,Starting Pitcher,75.0,200.0,28.92
Sean Henn,NYY,Relief Pitcher,76.0,215.0,27.85
Scott Proctor,NYY,Relief Pitcher,73.0,198.0,32.16
Brian Bruney,NYY,Relief Pitcher,75.0,226.0,27.03
Chris Britton,NYY,Relief Pitcher,75.0,278.0,26.21
T.J. Beam,NYY,Relief Pitcher,79.0,215.0,28.51
Jose Veras,NYY,Relief Pitcher,77.0,230.0,28.36
Kyle Farnsworth,NYY,Relief Pitcher,76.0,240.0,32.879999999999995
Luis Vizcaino,NYY,Relief Pitcher,71.0,184.0,34.57
Mike Myers,NYY,Relief Pitcher,75.0,219.0,39.68
Mariano Rivera,NYY,Relief Pitcher,74.0,170.0,39.25
Ivan Rodriguez,DET,Catcher,69.0,218.0,37.25
Vance Wilson,DET,Catcher,71.0,190.0,35.95
Sean Casey,DET,First Baseman,76.0,225.0,34.66
Chris Shelton,DET,First Baseman,72.0,220.0,28.68
Omar Infante,DET,Second Baseman,72.0,176.0,27.18
Placido Polanco,DET,Second Baseman,70.0,190.0,33.39
Neifi Perez,DET,Second Baseman,72.0,197.0,35.74
Carlos Guillen,DET,Shortstop,73.0,204.0,33.42
Ramon Santiago,DET,Shortstop,71.0,167.0,29.5
Tony Giarratano,DET,Shortstop,72.0,180.0,26.25
Brandon Inge,DET,Third Baseman,71.0,195.0,31.78
Craig Monroe,DET,Outfielder,73.0,220.0,32.0
Magglio Ordo?ez,DET,Outfielder,72.0,215.0,35.09
Curtis Granderson,DET,Outfielder,73.0,185.0,27.96
Brent Clevlen,DET,Outfielder,74.0,190.0,25.34
Marcus Thames,DET,Outfielder,74.0,205.0,31.98
Gary Sheffield,DET,Outfielder,72.0,205.0,40.28
Mike Rabelo,DET,Designated Hitter,73.0,200.0,29.12
Zach Miner,DET,Starting Pitcher,75.0,200.0,26.97
Jeremy Bonderman,DET,Starting Pitcher,74.0,210.0,26.34
Nate Robertson,DET,Starting Pitcher,74.0,215.0,31.49
Justin Verlander,DET,Starting Pitcher,77.0,200.0,26.02
Virgil Vasquez,DET,Starting Pitcher,75.0,205.0,26.73
Kenny Rogers,DET,Starting Pitcher,73.0,211.0,44.3
Mike Maroth,DET,Starting Pitcher,72.0,190.0,31.54
Fernando Rodney,DET,Relief Pitcher,71.0,208.0,31.95
Chad Durbin,DET,Relief Pitcher,74.0,200.0,31.24
Jason Grilli,DET,Relief Pitcher,77.0,210.0,32.3
Jose Mesa,DET,Relief Pitcher,75.0,232.0,42.77
Todd Jones,DET,Relief Pitcher,75.0,230.0,40.85
Joel Zumaya,DET,Relief Pitcher,75.0,210.0,24.31
Jordan Tata,DET,Relief Pitcher,78.0,220.0,27.44
Andrew Miller,DET,Relief Pitcher,78.0,210.0,23.78
Yorman Bazardo,DET,Relief Pitcher,74.0,202.0,24.64
Wilfredo Ledezma,DET,Relief Pitcher,76.0,212.0,28.11
Roman Colon,DET,Relief Pitcher,78.0,225.0,29.55
Edward Campusano,DET,Relief Pitcher,76.0,170.0,26.63
Rene Rivera,SEA,Catcher,70.0,190.0,25.58
Kenji Johjima,SEA,Catcher,72.0,200.0,32.730000000000004
Richie Sexson,SEA,First Baseman,80.0,237.0,34.17
Ben Broussard,SEA,First Baseman,74.0,220.0,32.43
Jose Lopez,SEA,Second Baseman,74.0,170.0,25.27
Jose Vidro,SEA,Second Baseman,71.0,193.0,34.51
Yuniesky Betancourt,SEA,Shortstop,70.0,190.0,27.08
Oswaldo Navarro,SEA,Shortstop,72.0,150.0,24.41
Adrian Beltre,SEA,Third Baseman,71.0,220.0,29.9
Raul Ibanez,SEA,Outfielder,74.0,200.0,36.74
Jose Guillen,SEA,Outfielder,71.0,190.0,32.79
Jeremy Reed,SEA,Outfielder,72.0,185.0,27.71
Willie Bloomquist,SEA,Outfielder,71.0,185.0,31.26
Adam Jones,SEA,Outfielder,74.0,200.0,23.58
Ichiro Suzuki,SEA,Outfielder,69.0,172.0,35.36
Mike Morse,SEA,Outfielder,76.0,220.0,26.94
Felix Hernandez,SEA,Starting Pitcher,75.0,225.0,22.9
Ryan Feierabend,SEA,Starting Pitcher,75.0,190.0,23.52
Sean White,SEA,Starting Pitcher,76.0,195.0,27.85
Horacio Ramirez,SEA,Starting Pitcher,73.0,219.0,29.27
Cha Baek,SEA,Starting Pitcher,76.0,190.0,28.75
Miguel Batista,SEA,Starting Pitcher,73.0,197.0,38.03
Jeff Weaver,SEA,Starting Pitcher,77.0,200.0,32.519999999999996
Jarrod Washburn,SEA,Starting Pitcher,73.0,195.0,34.55
George Sherrill,SEA,Relief Pitcher,72.0,210.0,31.86
Julio Mateo,SEA,Relief Pitcher,72.0,177.0,31.58
J.J. Putz,SEA,Relief Pitcher,77.0,220.0,32.019999999999996
Chris Reitsma,SEA,Relief Pitcher,77.0,235.0,31.16
Cesar Jimenez,SEA,Relief Pitcher,71.0,180.0,24.3
Eric O'Flaherty,SEA,Relief Pitcher,74.0,195.0,24.06
Jon Huber,SEA,Relief Pitcher,74.0,195.0,27.65
Jake Woods,SEA,Relief Pitcher,73.0,190.0,27.49
Sean Green,SEA,Relief Pitcher,78.0,230.0,29.86
Mark Lowe,SEA,Relief Pitcher,75.0,190.0,25.73
Josh Paul,TB,Catcher,73.0,200.0,33.78
Dioner Navarro,TB,Catcher,70.0,190.0,25.06
Shawn Riggans,TB,Catcher,74.0,190.0,28.6
Ty Wigginton,TB,First Baseman,72.0,200.0,31.39
Brendan Harris,TB,Second Baseman,73.0,200.0,28.51
Jorge Cantu,TB,Second Baseman,73.0,184.0,27.08
Ben Zobrist,TB,Shortstop,75.0,200.0,27.76
B.J. Upton,TB,Third Baseman,75.0,180.0,24.52
Carl Crawford,TB,Outfielder,74.0,219.0,27.57
Rocco Baldelli,TB,Outfielder,76.0,187.0,27.43
Greg Norton,TB,Outfielder,73.0,200.0,36.65
Elijah Dukes,TB,Outfielder,74.0,220.0,24.68
Delmon Young,TB,Outfielder,75.0,205.0,23.46
Jonny Gomes,TB,Designated Hitter,73.0,205.0,28.27
Edwin Jackson,TB,Starting Pitcher,75.0,190.0,25.47
Scott Kazmir,TB,Starting Pitcher,72.0,170.0,25.1
Casey Fossum,TB,Starting Pitcher,73.0,160.0,31.14
Jae Seo,TB,Starting Pitcher,73.0,215.0,31.77
J.P. Howell,TB,Starting Pitcher,72.0,175.0,25.85
Tim Corcoran,TB,Starting Pitcher,74.0,205.0,30.88
Jason Hammel,TB,Starting Pitcher,78.0,200.0,26.49
James Shields,TB,Starting Pitcher,76.0,214.0,27.19
Brian Stokes,TB,Starting Pitcher,73.0,200.0,29.48
Juan Salas,TB,Relief Pitcher,74.0,190.0,30.31
Jeff Ridgway,TB,Relief Pitcher,75.0,180.0,28.54
Ruddy Lugo,TB,Relief Pitcher,70.0,205.0,28.77
Jae-Kuk Ryu,TB,Relief Pitcher,75.0,220.0,25.75
Chad Orvella,TB,Relief Pitcher,71.0,190.0,28.41
